REF_AREA_LABEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Prevalence of undernourishment (% of population),"Life expectancy at birth, total (years)","School enrollment, secondary (% gross)",Proportion of seats held by women in national parliaments (%),People using at least basic drinking water services (% of population),Access to electricity (% of population),GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),Gini index,Urban population (% of total population),Combustible renewables and waste (% of total energy),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Terrestrial and marine protected areas (% of total territorial area),Forest area (% of land area),Control of Corruption: Estimate,"Personal remittances, received (% of GDP)"
Comoros,35.260000000000005,14.6,65.7002,62.8695006782177,12.424242424242443,80.1992443478251,85.54,1456.4988169862854,25.575,42.65,29.397199999999998,51.632385533919795,0.31782,0.45999999999999996,17.68941429339065,-1.134964513778686,18.264534883631704
"Congo, Dem. Rep.",85.3,34.760000000000005,60.32379999999999,56.8860206604004,11.468617886178862,35.49100874082929,20.04,483.90296886544473,21.54,44.7,45.6432,93.32661256727127,3.4635399999999996,13.8,55.64731209280783,-1.5561213254928599,3.538072077320963
"Congo, Rep.",17.240000000000002,28.120000000000005,64.2414,65.6208031967423,11.92052980132454,73.68988088277935,48.74,1781.7540391942428,31.866666666666664,32.05,67.8274,49.807221142249745,7.139099999999999,34.7,64.26354319180088,-1.4053217411041259,0.17446911556878522
Costa Rica,2.24,2.5,79.49539999999999,135.1506500244142,45.96491228070176,99.80349637427878,99.86,12926.447911440398,80.1,48.260000000000005,80.7308,8.87453874099764,7.989839999999999,9.22,59.4373286329808,0.5451144635677337,0.873052489713093
Cote d'Ivoire,21.799999999999997,9.440000000000001,60.4122,53.651586151123055,12.2575266327003,72.64226768975585,69.74,2107.016532991279,36.84,36.25,51.713,59.86666132223591,13.578100000000001,14.9,8.920475220125788,-0.475121033191681,0.7414200162919002
Croatia,0.4,2.5,77.53365853658536,105.42712402343741,26.622516556291384,85.80748585464109,100.0,14851.556522314897,79.22,29.4,57.5678,17.867518406862526,17.627339999999997,23.78,34.65072674105977,0.09233439564704896,7.090910097163478
Cuba,1.971,2.5,76.6152,101.32370910644518,53.29907201083124,94.3311572782512,99.85999999999999,7685.769260722713,67.53999999999999,37.766,77.20660000000001,16.2372472592164,23.00436,6.8,31.233140655105966,-0.02145328316837552,5.481683044326547
Cyprus,0.06000000000000001,2.5,81.04939999999999,101.8073150634764,16.785714285714302,99.76514863359269,100.0,29123.884765625,88.34,31.68,66.84060000000001,6.04609827285918,7.06382,8.059999999999999,18.67207792207792,0.46950234174728395,2.010508128147159
Czechia,0.02,2.5,78.52731707317074,101.21704559326164,23.5,99.88059830626388,100.0,20066.212671729216,82.02000000000001,25.72,74.07300000000001,11.317588368166344,101.12286,22.2,34.67980112667768,0.575400137901306,1.5260334014188026
Denmark,0.21999999999999997,2.5,81.34341463414636,130.2509796142576,39.88826815642456,99.99999930784459,100.0,57891.36861618352,97.72,28.2,88.1182,30.55795582772297,29.83814,17.859999999999996,15.710999999999999,2.250228023529052,0.37722635737109556
